,Generic Drug Name,Generic Manufacturer,Brand Name,Approval Date,
11,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE VIALS,SICOR PHARMACEUTICALS INC.,DIFLUCAN (IN 0.9% SODIUM CHLORIDE INJECTION),7/29/2004,
12,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,NOVOPHARM LIMITED,DIFLUCAN TABLETS,7/29/2004,
13,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,APOTEX INC.,DIFLUCAN TABLETS,7/29/2004,
14,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE VIALS.,BEDFORD LABORATORIES,DIFLUCAN INJECTION (IN 0.9% SODIUM CHLORIDE I,7/29/2004,
15,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,PLIVA INC.,DIFLUCAN TABLETS,7/29/2004,
16,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG 200 MG,RANBAXY LABORATORIES LIMITED,DIFLUCAN TABLETS,7/29/2004,
17,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,TARO PHARMACEUTICAL INDUSTRIES LTD.,DIFLUCAN TABLETS,7/29/2004,
18,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE VIALS,AMERICAN PHARMACEUTICAL PARTNERS INC.,DIFLUCAN INJECTION (IN 0.9% SODIUM CHLORIDE I,7/29/2004,
19,NICOTINE POLACRILEX GUM USP (MINT FLAVORED) (OTC) 2 MG (BASE),WATSON LABORATORIES INC.,NICORETTE MINT,7/29/2004,
20,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,ROXANE LABORATORIES INC.,DIFLUCAN TABLETS,7/29/2004,
21,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,GEDEON RICHTER LTD.,DIFLUCAN TABLETS,7/29/2004,
22,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,GENPHARM INC.,DIFLUCAN TABLETS,7/29/2004,
23,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,IVAX PHARMACEUTICALS INC.,DIFLUCAN TABLETS,7/29/2004,
24,FLUCONAZOLE TABLETS 50 MG 100 MG 150 MG AND 200 MG,DR. REDDY'S LABORATORIES LIMITED,DIFLUCAN TABLETS,7/29/2004,
25,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE PLASTIC CONTAINERS,BAXTER HEALTHCARE CORPORATION,DIFLUCAN INJECTION (IN 0.9% SODIUM CHLORIDE I,7/29/2004,
26,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE PLASTIC CONTAINERS.,HOSPIRA INC.,DIFLUCAN INJECTION (IN 0.9% SODIUM CHLORIDE I,7/29/2004,
27,FLUCONAZOLE INJECTION (IN 5% DEXTROSE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE PLASTIC CONTAINERS,HOSPIRA INC.,DIFLUCAN INJECTION (IN DEXTROSE 5% INJECTION),7/29/2004,
28,CLOTRIMAZOLE LOZENGES USP 10 MG,ROXANE LABORATORIES INC.,MYCELEX TROCHE,7/29/2004,
29,ALCLOMETASONE DIPROPIONATE OINTMENT USP 0.05%,TARO PHARMACEUTICALS USA INC.,ACLOVATE OINTMENT,7/29/2004,
30,NICOTINE POLACRILEX GUM USP (MINT-FLAVORED) (OTC) 4 MG (BASE),WATSON LABORATORIES INC.,NICORETTE GUM (MINT),7/29/2004,
31,FLUCONAZOLE INJECTION (IN 0.9% SODIUM CHLORIDE INJECTION) 2 MG/ML; PACKAGED IN 200 MG/100 ML AND 400 MG/200 ML SINGLE-DOSE PLASTIC CONTAINERS,MAYNE PHARMA (USA) INC.,DIFLUCAN INJECTION (IN 0.9% SODIUM CHLORIDE I,7/29/2004,
